age,business_travel,department,education,education_field,gender,job_level,job_role,marital_status,percent_salary_hike,training_times_last_year,environment_satisfaction,job_satisfaction,work_life_balance,performance_rating,log_monthly_income,log_distance_from_home,log_years_since_last_promotion,log_total_working_years,log_num_companies_worked,log_years_at_company,log_years_with_curr_manager,total_satisfaction,loyalty_ratio,promotion_recency,income_per_exp_year
51,Travel_Rarely,Sales,2,Life Sciences,Female,1,Healthcare Representative,Married,11,6,3.0,4.0,2.0,3,11.784180855205214,1.9459101490553132,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,3.0,0.5,0.0,65580.0
31,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Research Scientist,Single,23,3,3.0,2.0,4.0,4,10.642826285701982,2.3978952727983707,0.6931471805599453,1.9459101490553132,0.0,1.791759469228055,1.6094379124341003,2.75,0.7142857142857143,0.16666666666666666,5984.285714285715
32,Travel_Frequently,Research & Development,4,Other,Male,4,Sales Executive,Married,15,2,2.0,2.0,1.0,3,12.171900367556262,2.8903717578961645,0.0,1.791759469228055,0.6931471805599453,1.791759469228055,1.3862943611198906,2.0,0.8333333333333334,0.0,32213.333333333332
38,Non-Travel,Research & Development,5,Life Sciences,Male,3,Human Resources,Married,11,5,4.0,4.0,3.0,3,11.329134829608586,1.0986122886681098,2.0794415416798357,2.6390573296152584,1.3862943611198906,2.1972245773362196,1.791759469228055,3.25,0.5714285714285714,0.7777777777777778,5943.571428571428
32,Travel_Rarely,Research & Development,1,Medical,Male,1,Sales Executive,Single,12,2,4.0,1.0,3.0,3,10.0613883347884,2.3978952727983707,0.0,2.302585092994046,1.6094379124341003,1.9459101490553132,1.6094379124341003,2.75,0.6,0.0,2342.0
46,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,13,5,3.0,2.0,2.0,3,10.614253605184526,2.1972245773362196,2.0794415416798357,3.367295829986474,1.3862943611198906,2.0794415416798357,2.0794415416798357,2.5,0.2413793103448276,0.875,1403.7931034482758
28,Travel_Rarely,Research & Development,2,Medical,Male,2,Sales Executive,Single,20,2,1.0,3.0,1.0,4,10.970454363368692,2.4849066497880004,0.0,1.791759469228055,1.0986122886681098,0.0,0.0,2.0,0.0,0.0,9688.333333333334
29,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Sales Executive,Married,22,2,1.0,2.0,3.0,4,10.355549946021075,2.9444389791664403,0.0,2.3978952727983707,1.0986122886681098,0.0,0.0,2.25,0.0,0.0,2857.2727272727275
31,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Laboratory Technician,Married,21,2,2.0,4.0,3.0,4,9.925297966799977,0.6931471805599453,2.0794415416798357,2.3978952727983707,0.0,2.302585092994046,2.1972245773362196,3.0,0.8181818181818182,0.7,1858.1818181818182
25,Non-Travel,Research & Development,4,Medical,Female,4,Laboratory Technician,Divorced,13,2,2.0,1.0,3.0,3,11.810367256050416,2.0794415416798357,0.6931471805599453,1.9459101490553132,0.6931471805599453,1.9459101490553132,1.791759469228055,2.25,0.8571428571428571,0.14285714285714285,19234.285714285714
45,Travel_Rarely,Research & Development,2,Medical,Male,2,Laboratory Technician,Married,13,2,3.0,4.0,3.0,3,11.288668794368546,2.8903717578961645,1.6094379124341003,3.091042453358316,0.0,3.044522437723423,2.3978952727983707,3.0,0.9090909090909091,0.19047619047619047,3632.2727272727275
36,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Married,12,2,3.0,4.0,3.0,3,10.427357725022913,3.367295829986474,2.3978952727983707,2.833213344056216,0.0,2.772588722239781,2.4849066497880004,3.25,0.8823529411764706,0.625,1986.4705882352941
55,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Sales Executive,Single,17,2,4.0,1.0,3.0,3,10.921991853622236,2.70805020110221,1.6094379124341003,3.6375861597263857,0.0,3.6109179126442243,2.6390573296152584,2.75,0.9473684210526315,0.10810810810810811,1457.3684210526317
47,Non-Travel,Research & Development,1,Medical,Male,1,Research Scientist,Married,11,4,1.0,2.0,2.0,3,10.961642363572961,0.6931471805599453,2.302585092994046,2.3978952727983707,0.6931471805599453,2.3978952727983707,2.302585092994046,1.75,0.9090909090909091,0.8181818181818182,5238.181818181818
28,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Manufacturing Director,Married,14,2,4.0,4.0,2.0,3,10.162808729968926,0.6931471805599453,0.0,1.791759469228055,0.6931471805599453,1.791759469228055,1.6094379124341003,3.25,0.8333333333333334,0.0,4320.0
37,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Married,11,2,3.0,4.0,4.0,3,10.886707695092223,0.6931471805599453,0.0,2.0794415416798357,1.6094379124341003,1.791759469228055,0.6931471805599453,3.5,0.625,0.0,6682.5
21,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,Single,12,3,4.0,3.0,4.0,3,10.648539090746434,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.3862943611198906,0.0,3.25,0.75,0.25,10532.5
37,Non-Travel,Research & Development,3,Medical,Male,2,Sales Executive,Divorced,13,2,1.0,4.0,3.0,3,10.627915353129104,0.6931471805599453,0.0,2.772588722239781,1.0986122886681098,1.791759469228055,1.0986122886681098,2.75,0.3125,0.0,2579.375
35,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Representative,Divorced,16,5,2.0,2.0,2.0,3,10.101559419421314,2.0794415416798357,1.9459101490553132,2.3978952727983707,2.0794415416798357,2.0794415416798357,1.0986122886681098,2.0,0.6363636363636364,0.75,2216.3636363636365
38,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Manager,Divorced,11,5,1.0,1.0,3.0,3,11.13751903414526,2.1972245773362196,2.0794415416798357,2.1972245773362196,0.6931471805599453,2.1972245773362196,2.0794415416798357,2.0,0.8888888888888888,0.7777777777777778,7633.333333333333
26,Travel_Frequently,Research & Development,4,Other,Male,2,Laboratory Technician,Divorced,18,3,3.0,2.0,1.0,3,11.55666479991171,0.6931471805599453,0.6931471805599453,1.9459101490553132,0.6931471805599453,1.9459101490553132,1.6094379124341003,2.25,0.8571428571428571,0.14285714285714285,14924.285714285714
50,Travel_Rarely,Sales,4,Life Sciences,Male,1,Research Scientist,Divorced,23,2,1.0,2.0,2.0,4,11.479068739876027,2.1972245773362196,0.6931471805599453,3.367295829986474,1.3862943611198906,2.3978952727983707,1.9459101490553132,1.75,0.3448275862068966,0.09090909090909091,3333.448275862069
53,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Research Scientist,Married,11,2,3.0,3.0,2.0,3,9.974924102473977,2.4849066497880004,0.6931471805599453,3.091042453358316,1.3862943611198906,1.791759469228055,1.3862943611198906,2.75,0.22727272727272727,0.16666666666666666,976.3636363636364
42,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Married,14,4,2.0,3.0,3.0,3,11.399319941347034,1.6094379124341003,2.4849066497880004,2.3978952727983707,0.6931471805599453,3.044522437723423,1.9459101490553132,2.25,1.8181818181818181,0.5238095238095238,8114.545454545455
29,Travel_Frequently,Research & Development,4,Medical,Male,1,Laboratory Technician,Single,11,2,2.0,4.0,2.0,3,11.084155905330146,2.833213344056216,0.0,2.3978952727983707,0.6931471805599453,2.3978952727983707,2.302585092994046,2.75,0.9090909090909091,0.0,5920.909090909091
55,Travel_Rarely,Research & Development,4,Other,Female,1,Research Scientist,Married,11,2,2.0,4.0,3.0,3,11.127130622457644,0.6931471805599453,0.0,2.5649493574615367,1.3862943611198906,2.3978952727983707,2.1972245773362196,3.0,0.7692307692307693,0.0,5230.0
