age,attrition,business_travel,department,distance_from_home,education,education_field,gender,job_level,job_role,marital_status,monthly_income,num_companies_worked,percent_salary_hike,stock_option_level,total_working_years,training_times_last_year,years_at_company,years_since_last_promotion,years_with_curr_manager,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating
51,No,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160.0,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890.0,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4
32,No,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,165835.0,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3
38,No,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210.0,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3
32,No,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420.0,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710.0,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130.0,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430.0,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440.0,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4
25,No,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640.0,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3
45,No,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910.0,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770.0,0.0,12,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380.0,0.0,17,0,28.5,2,36,4,13,4.0,1.0,3.0,3,3
47,Yes,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620.0,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920.0,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460.0,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130.0,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3
37,No,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270.0,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3
35,No,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380.0,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700.0,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3
26,No,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470.0,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3
50,No,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670.0,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480.0,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,Male,1,Manufacturing Director,Married,89260.0,1.0,14,0,10.0,4,20,11,6,2.0,3.0,3.0,1,3
29,No,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130.0,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3
55,No,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990.0,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910.0,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4
37,No,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050.0,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3
